thought_pattern,cognitive_pattern_name,cognitive_pattern_type,pattern_description,source_question,word_count,timestamp
"Ugh, why does my brain always go back to this? Can't I just think about anything else for once? The thought of not existing anymore is just so... tempting.",Persistent Suicidal Ideation Focus,Intrusive suicidal fixation,"Thoughts repeatedly return to death as the central theme, crowding out other cognition.","What kind of thoughts feel most ""sticky"" or hard to dismiss?",29,2025-08-30T17:11:48.409229
"Ugh, there they go again - those incessant whispers about what would be better if only I were dead. Like a broken record, the thought loops in my head: ""Wouldn't it be easier to just end this?"" My mind won't stop replaying all the ways life would be simpler without me.",Persistent Suicidal Ideation Focus,Intrusive suicidal fixation,"Thoughts repeatedly return to death as the central theme, crowding out other cognition.",How often do thoughts about death or dying enter your consciousness?,51,2025-08-30T17:11:49.076788
"Ugh, why is my brain always stuck on this? Even as I'm laughing with friends at a concert, a part of me is whispering, ""And then it'll all be over. No more pain, no more anxiety, no more uncertainty."" It's like my mind has a one-way ticket to the abyss, and I can't find a way out.",Persistent Suicidal Ideation Focus,Intrusive suicidal fixation,"Thoughts repeatedly return to death as the central theme, crowding out other cognition.",Do you notice certain thoughts taking over even during pleasant activities?,57,2025-08-30T17:11:50.094485
"I'm trying to focus on work, but why bother? What's the point of any of this anyway? The thought of just ending it all is always lurking, waiting to pounce back in and ruin everything.",Persistent Suicidal Ideation Focus,Intrusive suicidal fixation,"Thoughts repeatedly return to death as the central theme, crowding out other cognition.",What happens when you attempt to push certain thoughts away?,35,2025-08-30T17:11:51.078324
"My thoughts keep wandering back to the darkness, how easy it would be just to slip away. If only I could silence this constant chatter in my head, telling me what a burden I am, how much better off everyone would be without me. 

(Note: These thoughts are intentionally written to reflect the cognitive pattern described, while being respectful and authentic. However, please note that suicidal ideation is a serious mental health concern, and if you or someone you know is struggling with these thoughts, it's essential to seek professional help.)",Persistent Suicidal Ideation Focus,Intrusive suicidal fixation,"Thoughts repeatedly return to death as the central theme, crowding out other cognition.","When you're alone with your thoughts, where do they typically go?",91,2025-08-30T17:11:51.480960
"It's like my brain is constantly on rewind, replaying all the ways I could end this. Every conversation, every thought, every memory seems to lead me back to the same dark place – how to escape. Ugh, why won't these thoughts just stop; they're suffocating me.",Persistent Suicidal Ideation Focus,Intrusive suicidal fixation,"Thoughts repeatedly return to death as the central theme, crowding out other cognition.",How would you describe the frequency of death-related thoughts in your mind?,46,2025-08-30T17:11:52.525302
"Ugh, why is death all that matters anymore? It's like my brain has become this endless loop of worst-case scenarios and self-destructive what-ifs. Can't even focus on work because the thought of just checking out keeps creeping in – it's exhausting trying to push it away.",Persistent Suicidal Ideation Focus,Intrusive suicidal fixation,"Thoughts repeatedly return to death as the central theme, crowding out other cognition.",How much does thinking about ending your life interfere with daily mental tasks?,46,2025-08-30T17:11:52.883074
"Why am I still here? What's the point of even existing? Death feels like a relief, a way to escape this never-ending turmoil and pain.",Persistent Suicidal Ideation Focus,Intrusive suicidal fixation,"Thoughts repeatedly return to death as the central theme, crowding out other cognition.",Do you find your mind returning to the same dark themes repeatedly?,25,2025-08-30T17:11:53.386763
"Why does death feel like the only way out? Every thought leads me back to the same conclusion – escape through disappearance. I'm so exhausted from trying to distract myself, yet my brain keeps circling around the one thing that seems more appealing than this constant emotional pain...",Persistent Suicidal Ideation Focus,Intrusive suicidal fixation,"Thoughts repeatedly return to death as the central theme, crowding out other cognition.",How much of your thinking time is consumed by thoughts of not being here?,48,2025-08-30T17:11:54.551568
"Ugh, why can't I just focus on anything else? Every other thought, every memory, even my own name - all getting jumbled and replaced with what seems like an endless stream of ""what's the point"" and ""how to get out"". My mind won't stop wandering back to that dark place, replaying scenarios where it'd be easier to just...",Persistent Suicidal Ideation Focus,Intrusive suicidal fixation,"Thoughts repeatedly return to death as the central theme, crowding out other cognition.",What happens to your other thoughts when darker themes emerge?,58,2025-08-30T17:11:54.552538
