Token_Position,Relative_Position,Token_Text,L0_Norm,Feature_Rank,Feature_Index,Activation,Feature_Description,Neuronpedia_URL,Pattern_Name
0,-10,<bos>,795,1,28471,101.62,license and copyright text from open-source software headers.,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28471,Hopelessness-Driven Cognitive Exhaustion
0,-10,<bos>,795,2,618,27.86," the repetition of the word ""always"" in various contexts",https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/618,Hopelessness-Driven Cognitive Exhaustion
0,-10,<bos>,795,3,39353,21.30, sentences or fragments that indicate the start of a new topic or section,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/39353,Hopelessness-Driven Cognitive Exhaustion
0,-10,<bos>,795,4,29168,20.59, indicators of secure online practices,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/29168,Hopelessness-Driven Cognitive Exhaustion
0,-10,<bos>,795,5,16428,19.79,"references to ""American"" organizations and affiliations",https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/16428,Hopelessness-Driven Cognitive Exhaustion
0,-10,<bos>,795,6,2363,18.64," instances of the word ""always"" and its variations",https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/2363,Hopelessness-Driven Cognitive Exhaustion
0,-10,<bos>,795,7,36327,17.64," terms and concepts related to diagrams, specifically regarding directionality and positioning",https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/36327,Hopelessness-Driven Cognitive Exhaustion
0,-10,<bos>,795,8,59919,16.20," mentions of the name ""Mark.""",https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/59919,Hopelessness-Driven Cognitive Exhaustion
0,-10,<bos>,795,9,58815,15.93,references to health-related terminology and conditions,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/58815,Hopelessness-Driven Cognitive Exhaustion
0,-10,<bos>,795,10,50579,15.60,ingredients and their quantities used in cooking,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/50579,Hopelessness-Driven Cognitive Exhaustion
1,-9,What,667,1,28471,139.25,license and copyright text from open-source software headers.,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28471,Hopelessness-Driven Cognitive Exhaustion
1,-9,What,667,2,58815,29.60,references to health-related terminology and conditions,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/58815,Hopelessness-Driven Cognitive Exhaustion
1,-9,What,667,3,39353,25.22, sentences or fragments that indicate the start of a new topic or section,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/39353,Hopelessness-Driven Cognitive Exhaustion
1,-9,What,667,4,6824,19.03, references to data structures and their properties,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/6824,Hopelessness-Driven Cognitive Exhaustion
1,-9,What,667,5,24612,18.54,references to measurements or conditions related to diarrhea,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/24612,Hopelessness-Driven Cognitive Exhaustion
1,-9,What,667,6,16550,17.04, technical terms related to genetics and statistical analysis,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/16550,Hopelessness-Driven Cognitive Exhaustion
1,-9,What,667,7,45660,16.75,references to specific individuals or organizations involved in cultural or social commentary,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/45660,Hopelessness-Driven Cognitive Exhaustion
1,-9,What,667,8,62163,16.61, expressions related to food delivery and cuisine experiences,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/62163,Hopelessness-Driven Cognitive Exhaustion
1,-9,What,667,9,7819,16.33,references to death and loss,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/7819,Hopelessness-Driven Cognitive Exhaustion
1,-9,What,667,10,11322,15.94, mentions of items related to sewing and fabric,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/11322,Hopelessness-Driven Cognitive Exhaustion
2,-8,',431,1,28471,99.82,license and copyright text from open-source software headers.,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28471,Hopelessness-Driven Cognitive Exhaustion
2,-8,',431,2,18612,33.87," instances of the word ""up"" in various contexts",https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/18612,Hopelessness-Driven Cognitive Exhaustion
2,-8,',431,3,20591,23.87," terms related to increases and decreases, particularly in value or performance",https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/20591,Hopelessness-Driven Cognitive Exhaustion
2,-8,',431,4,39353,22.42, sentences or fragments that indicate the start of a new topic or section,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/39353,Hopelessness-Driven Cognitive Exhaustion
2,-8,',431,5,27530,20.98, phrases related to software licensing and warranties,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/27530,Hopelessness-Driven Cognitive Exhaustion
2,-8,',431,6,31041,19.01,words and phrases related to technology and web applications,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/31041,Hopelessness-Driven Cognitive Exhaustion
2,-8,',431,7,59777,18.69, content related to warnings or disclaimers regarding sexual and potentially violent themes,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/59777,Hopelessness-Driven Cognitive Exhaustion
2,-8,',431,8,28080,18.55, phrases related to areas of focus and categorization,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28080,Hopelessness-Driven Cognitive Exhaustion
2,-8,',431,9,58815,18.49,references to health-related terminology and conditions,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/58815,Hopelessness-Driven Cognitive Exhaustion
2,-8,',431,10,28638,16.97, inquiries about gameplay experiences and technical issues related to video games,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28638,Hopelessness-Driven Cognitive Exhaustion
3,-7,s,561,1,28471,95.09,license and copyright text from open-source software headers.,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28471,Hopelessness-Driven Cognitive Exhaustion
3,-7,s,561,2,31041,24.91,words and phrases related to technology and web applications,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/31041,Hopelessness-Driven Cognitive Exhaustion
3,-7,s,561,3,199,22.26, technical terms and code snippets related to programming in PHP and MySQL,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/199,Hopelessness-Driven Cognitive Exhaustion
3,-7,s,561,4,39353,21.88, sentences or fragments that indicate the start of a new topic or section,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/39353,Hopelessness-Driven Cognitive Exhaustion
3,-7,s,561,5,16550,17.89, technical terms related to genetics and statistical analysis,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/16550,Hopelessness-Driven Cognitive Exhaustion
