Token_Position,Relative_Position,Token_Text,L0_Norm,Feature_Rank,Feature_Index,Activation,Feature_Description,Neuronpedia_URL,Pattern_Name
0,-10,<bos>,825,1,28471,96.68,license and copyright text from open-source software headers.,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28471,Existential Overload & Worthlessness
0,-10,<bos>,825,2,199,19.91, technical terms and code snippets related to programming in PHP and MySQL,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/199,Existential Overload & Worthlessness
0,-10,<bos>,825,3,39353,19.82, sentences or fragments that indicate the start of a new topic or section,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/39353,Existential Overload & Worthlessness
0,-10,<bos>,825,4,60173,17.74, punctuation marks and symbols in context,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/60173,Existential Overload & Worthlessness
0,-10,<bos>,825,5,31041,17.52,words and phrases related to technology and web applications,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/31041,Existential Overload & Worthlessness
0,-10,<bos>,825,6,14818,16.86,punctuation marks in contexts related to economic and social critiques,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/14818,Existential Overload & Worthlessness
0,-10,<bos>,825,7,22827,16.86,complex mathematical or scientific expressions and symbols,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/22827,Existential Overload & Worthlessness
0,-10,<bos>,825,8,8577,16.85, instances of notable statistical events or metrics,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/8577,Existential Overload & Worthlessness
0,-10,<bos>,825,9,34374,16.50,elements related to mathematical probability calculations,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/34374,Existential Overload & Worthlessness
0,-10,<bos>,825,10,6600,16.27,keywords related to metabolic diseases and insulin signaling,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/6600,Existential Overload & Worthlessness
1,-9,What,467,1,28471,92.75,license and copyright text from open-source software headers.,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28471,Existential Overload & Worthlessness
1,-9,What,467,2,5807,27.87,"variations of the word ""would.""",https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/5807,Existential Overload & Worthlessness
1,-9,What,467,3,46054,20.61, references to NFL players and their positions,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/46054,Existential Overload & Worthlessness
1,-9,What,467,4,199,20.30, technical terms and code snippets related to programming in PHP and MySQL,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/199,Existential Overload & Worthlessness
1,-9,What,467,5,39353,19.33, sentences or fragments that indicate the start of a new topic or section,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/39353,Existential Overload & Worthlessness
1,-9,What,467,6,60644,17.95, modal verbs and expressions indicating obligation or necessity,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/60644,Existential Overload & Worthlessness
1,-9,What,467,7,58314,17.27,conditional statements and speculative language,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/58314,Existential Overload & Worthlessness
1,-9,What,467,8,40537,17.10," proper nouns, particularly names and titles related to individuals and their affiliations",https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/40537,Existential Overload & Worthlessness
1,-9,What,467,9,16550,16.57, technical terms related to genetics and statistical analysis,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/16550,Existential Overload & Worthlessness
1,-9,What,467,10,45496,16.48,references to an object's properties or methods in coding contexts,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/45496,Existential Overload & Worthlessness
2,-8,',741,1,28471,111.70,license and copyright text from open-source software headers.,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28471,Existential Overload & Worthlessness
2,-8,',741,2,23118,20.65,"the pronoun ""it"" in various contexts",https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/23118,Existential Overload & Worthlessness
2,-8,',741,3,39353,20.49, sentences or fragments that indicate the start of a new topic or section,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/39353,Existential Overload & Worthlessness
2,-8,',741,4,31041,19.18,words and phrases related to technology and web applications,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/31041,Existential Overload & Worthlessness
2,-8,',741,5,59389,18.78," instances of the pronoun ""it"" used in sentences",https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/59389,Existential Overload & Worthlessness
2,-8,',741,6,20663,18.51, biological markers and abbreviations related to medical research,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/20663,Existential Overload & Worthlessness
