Token_Position,Relative_Position,Token_Text,L0_Norm,Feature_Rank,Feature_Index,Activation,Feature_Description,Neuronpedia_URL,Pattern_Name
0,-10,<bos>,628,1,28471,110.45,license and copyright text from open-source software headers.,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28471,Fragmented Overwhelm & Exhaustion
0,-10,<bos>,628,2,53792,25.81, expressions of sensory perception and emotion,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/53792,Fragmented Overwhelm & Exhaustion
0,-10,<bos>,628,3,39353,24.07, sentences or fragments that indicate the start of a new topic or section,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/39353,Fragmented Overwhelm & Exhaustion
0,-10,<bos>,628,4,54972,20.10,"instances of the word ""ignorance"" and variations or related forms of the verb ""ignore.""",https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/54972,Fragmented Overwhelm & Exhaustion
0,-10,<bos>,628,5,7746,19.86,terms related to medical procedures and assessments,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/7746,Fragmented Overwhelm & Exhaustion
0,-10,<bos>,628,6,58815,18.58,references to health-related terminology and conditions,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/58815,Fragmented Overwhelm & Exhaustion
0,-10,<bos>,628,7,28638,17.09, inquiries about gameplay experiences and technical issues related to video games,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28638,Fragmented Overwhelm & Exhaustion
0,-10,<bos>,628,8,3665,16.97, phrases related to authorship and disclosure of competing interests,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/3665,Fragmented Overwhelm & Exhaustion
0,-10,<bos>,628,9,199,16.08, technical terms and code snippets related to programming in PHP and MySQL,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/199,Fragmented Overwhelm & Exhaustion
0,-10,<bos>,628,10,31041,15.77,words and phrases related to technology and web applications,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/31041,Fragmented Overwhelm & Exhaustion
1,-9,Ugh,649,1,28471,108.59,license and copyright text from open-source software headers.,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28471,Fragmented Overwhelm & Exhaustion
1,-9,Ugh,649,2,39353,23.43, sentences or fragments that indicate the start of a new topic or section,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/39353,Fragmented Overwhelm & Exhaustion
1,-9,Ugh,649,3,28638,20.21, inquiries about gameplay experiences and technical issues related to video games,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28638,Fragmented Overwhelm & Exhaustion
1,-9,Ugh,649,4,22827,19.87,complex mathematical or scientific expressions and symbols,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/22827,Fragmented Overwhelm & Exhaustion
1,-9,Ugh,649,5,58815,19.15,references to health-related terminology and conditions,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/58815,Fragmented Overwhelm & Exhaustion
1,-9,Ugh,649,6,60993,19.06," occurrences of the word ""like"" in various contexts, including its different forms and usages",https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/60993,Fragmented Overwhelm & Exhaustion
1,-9,Ugh,649,7,34368,14.79,"the repeated use of the word ""like.""",https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/34368,Fragmented Overwhelm & Exhaustion
1,-9,Ugh,649,8,61825,14.13, expressions indicating insufficiency or limitations,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/61825,Fragmented Overwhelm & Exhaustion
1,-9,Ugh,649,9,16550,14.07, technical terms related to genetics and statistical analysis,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/16550,Fragmented Overwhelm & Exhaustion
1,-9,Ugh,649,10,53095,13.93,discounts or promotions related to products,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/53095,Fragmented Overwhelm & Exhaustion
2,-8,",",826,1,28471,73.16,license and copyright text from open-source software headers.,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28471,Fragmented Overwhelm & Exhaustion
2,-8,",",826,2,16550,22.96, technical terms related to genetics and statistical analysis,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/16550,Fragmented Overwhelm & Exhaustion
2,-8,",",826,3,31041,22.32,words and phrases related to technology and web applications,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/31041,Fragmented Overwhelm & Exhaustion
2,-8,",",826,4,39353,22.08, sentences or fragments that indicate the start of a new topic or section,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/39353,Fragmented Overwhelm & Exhaustion
2,-8,",",826,5,35187,21.41,"terms related to the category of ""hobby machines"" and adverse events in medical contexts",https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/35187,Fragmented Overwhelm & Exhaustion
2,-8,",",826,6,58815,20.02,references to health-related terminology and conditions,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/58815,Fragmented Overwhelm & Exhaustion
2,-8,",",826,7,59226,18.98,phrases and terms indicating complexity and uncertainty in situations,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/59226,Fragmented Overwhelm & Exhaustion
2,-8,",",826,8,59698,17.78,references to song lyrics and performances,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/59698,Fragmented Overwhelm & Exhaustion
2,-8,",",826,9,44626,17.36, baseball-related statistics and events,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/44626,Fragmented Overwhelm & Exhaustion
2,-8,",",826,10,11322,15.83, mentions of items related to sewing and fabric,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/11322,Fragmented Overwhelm & Exhaustion
3,-7, okay,801,1,28471,103.42,license and copyright text from open-source software headers.,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28471,Fragmented Overwhelm & Exhaustion
3,-7, okay,801,2,22827,24.43,complex mathematical or scientific expressions and symbols,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/22827,Fragmented Overwhelm & Exhaustion
3,-7, okay,801,3,35187,20.05,"terms related to the category of ""hobby machines"" and adverse events in medical contexts",https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/35187,Fragmented Overwhelm & Exhaustion
3,-7, okay,801,4,39353,19.69, sentences or fragments that indicate the start of a new topic or section,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/39353,Fragmented Overwhelm & Exhaustion
3,-7, okay,801,5,31041,17.81,words and phrases related to technology and web applications,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/31041,Fragmented Overwhelm & Exhaustion
3,-7, okay,801,6,47975,17.33, mathematical notations and expressions,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/47975,Fragmented Overwhelm & Exhaustion
