Token_Position,Relative_Position,Token_Text,L0_Norm,Feature_Rank,Feature_Index,Activation,Feature_Description,Neuronpedia_URL,Pattern_Name
0,-10,<bos>,926,1,28471,107.75,license and copyright text from open-source software headers.,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28471,Overload with Entrapment Themes
0,-10,<bos>,926,2,52907,29.16," gerunds and present participles, particularly those related to naming, linking, and activities",https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/52907,Overload with Entrapment Themes
0,-10,<bos>,926,3,64664,23.51, mathematical expressions and formulas in a technical context,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/64664,Overload with Entrapment Themes
0,-10,<bos>,926,4,28638,22.84, inquiries about gameplay experiences and technical issues related to video games,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28638,Overload with Entrapment Themes
0,-10,<bos>,926,5,31041,20.28,words and phrases related to technology and web applications,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/31041,Overload with Entrapment Themes
0,-10,<bos>,926,6,11926,20.19,keywords associated with programming constructs and declarations,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/11926,Overload with Entrapment Themes
0,-10,<bos>,926,7,41804,19.61," terms related to tendencies, abilities, and conditions related to biological or medical contexts",https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/41804,Overload with Entrapment Themes
0,-10,<bos>,926,8,50044,19.08,terms related to missions and expeditions,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/50044,Overload with Entrapment Themes
0,-10,<bos>,926,9,27530,18.19, phrases related to software licensing and warranties,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/27530,Overload with Entrapment Themes
0,-10,<bos>,926,10,61825,17.64, expressions indicating insufficiency or limitations,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/61825,Overload with Entrapment Themes
1,-9,I,647,1,28471,134.81,license and copyright text from open-source software headers.,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28471,Overload with Entrapment Themes
1,-9,I,647,2,58815,24.02,references to health-related terminology and conditions,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/58815,Overload with Entrapment Themes
1,-9,I,647,3,59226,22.13,phrases and terms indicating complexity and uncertainty in situations,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/59226,Overload with Entrapment Themes
1,-9,I,647,4,38842,20.75,elements related to software or web service configuration,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/38842,Overload with Entrapment Themes
1,-9,I,647,5,19545,20.29," instances of the word ""to"" in various contexts",https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/19545,Overload with Entrapment Themes
1,-9,I,647,6,16550,18.75, technical terms related to genetics and statistical analysis,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/16550,Overload with Entrapment Themes
1,-9,I,647,7,39353,18.65, sentences or fragments that indicate the start of a new topic or section,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/39353,Overload with Entrapment Themes
1,-9,I,647,8,28638,18.09, inquiries about gameplay experiences and technical issues related to video games,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28638,Overload with Entrapment Themes
1,-9,I,647,9,27326,17.82,negations and words that express contradiction or denial,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/27326,Overload with Entrapment Themes
1,-9,I,647,10,53016,17.47,references to legal titles or regulations,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/53016,Overload with Entrapment Themes
2,-8,',500,1,28471,132.70,license and copyright text from open-source software headers.,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28471,Overload with Entrapment Themes
2,-8,',500,2,58815,42.90,references to health-related terminology and conditions,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/58815,Overload with Entrapment Themes
2,-8,',500,3,39353,24.28, sentences or fragments that indicate the start of a new topic or section,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/39353,Overload with Entrapment Themes
2,-8,',500,4,21207,23.28, terms related to cadherins and specific individuals linked to them,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/21207,Overload with Entrapment Themes
2,-8,',500,5,30230,23.19, actions involving movement or transitions,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/30230,Overload with Entrapment Themes
2,-8,',500,6,64664,22.34, mathematical expressions and formulas in a technical context,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/64664,Overload with Entrapment Themes
2,-8,',500,7,27447,20.88,terms related to escape mechanisms,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/27447,Overload with Entrapment Themes
2,-8,',500,8,16550,20.02, technical terms related to genetics and statistical analysis,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/16550,Overload with Entrapment Themes
2,-8,',500,9,64062,17.89,references to numbers and financial figures,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/64062,Overload with Entrapment Themes
2,-8,',500,10,199,14.75, technical terms and code snippets related to programming in PHP and MySQL,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/199,Overload with Entrapment Themes
