Token_Position,Relative_Position,Token_Text,L0_Norm,Feature_Rank,Feature_Index,Activation,Feature_Description,Neuronpedia_URL,Pattern_Name
0,-10,<bos>,966,1,28471,80.33,license and copyright text from open-source software headers.,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28471,Suicidal Planning & Rationalization
0,-10,<bos>,966,2,31041,31.84,words and phrases related to technology and web applications,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/31041,Suicidal Planning & Rationalization
0,-10,<bos>,966,3,43398,23.65, temporal and geographical references,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/43398,Suicidal Planning & Rationalization
0,-10,<bos>,966,4,31718,18.88, numerical data and statistical representations,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/31718,Suicidal Planning & Rationalization
0,-10,<bos>,966,5,22827,18.54,complex mathematical or scientific expressions and symbols,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/22827,Suicidal Planning & Rationalization
0,-10,<bos>,966,6,39353,18.29, sentences or fragments that indicate the start of a new topic or section,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/39353,Suicidal Planning & Rationalization
0,-10,<bos>,966,7,19011,17.09,the start or beginning of sections or topics in documents,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/19011,Suicidal Planning & Rationalization
0,-10,<bos>,966,8,27326,16.84,negations and words that express contradiction or denial,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/27326,Suicidal Planning & Rationalization
0,-10,<bos>,966,9,9858,16.72,references to solid and liquid states or phases in scientific contexts,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/9858,Suicidal Planning & Rationalization
0,-10,<bos>,966,10,6721,16.49, references to books and literary works,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/6721,Suicidal Planning & Rationalization
1,-9,I,670,1,28471,118.66,license and copyright text from open-source software headers.,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28471,Suicidal Planning & Rationalization
1,-9,I,670,2,52907,33.00," gerunds and present participles, particularly those related to naming, linking, and activities",https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/52907,Suicidal Planning & Rationalization
1,-9,I,670,3,39353,28.44, sentences or fragments that indicate the start of a new topic or section,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/39353,Suicidal Planning & Rationalization
1,-9,I,670,4,24593,21.56, phrases that indicate change or transition in status or relationships,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/24593,Suicidal Planning & Rationalization
1,-9,I,670,5,28638,21.30, inquiries about gameplay experiences and technical issues related to video games,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28638,Suicidal Planning & Rationalization
1,-9,I,670,6,2203,20.02,technical instructions and references to system security implications,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/2203,Suicidal Planning & Rationalization
1,-9,I,670,7,48548,19.65, specific technical terms and components related to mechanics and physics,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/48548,Suicidal Planning & Rationalization
1,-9,I,670,8,167,18.17, functions related to XML file handling and operations,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/167,Suicidal Planning & Rationalization
1,-9,I,670,9,48711,17.90," terms related to scientific or technical concepts, especially those involving measurements or expressions",https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/48711,Suicidal Planning & Rationalization
1,-9,I,670,10,43398,17.24, temporal and geographical references,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/43398,Suicidal Planning & Rationalization
2,-8,',712,1,28471,79.83,license and copyright text from open-source software headers.,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28471,Suicidal Planning & Rationalization
2,-8,',712,2,39353,22.08, sentences or fragments that indicate the start of a new topic or section,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/39353,Suicidal Planning & Rationalization
2,-8,',712,3,27530,21.32, phrases related to software licensing and warranties,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/27530,Suicidal Planning & Rationalization
2,-8,',712,4,56394,21.19," instances of the word ""when.""",https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/56394,Suicidal Planning & Rationalization
2,-8,',712,5,28638,20.01, inquiries about gameplay experiences and technical issues related to video games,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28638,Suicidal Planning & Rationalization
2,-8,',712,6,40537,19.51," proper nouns, particularly names and titles related to individuals and their affiliations",https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/40537,Suicidal Planning & Rationalization
2,-8,',712,7,199,19.27, technical terms and code snippets related to programming in PHP and MySQL,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/199,Suicidal Planning & Rationalization
2,-8,',712,8,43398,16.83, temporal and geographical references,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/43398,Suicidal Planning & Rationalization
2,-8,',712,9,22827,16.63,complex mathematical or scientific expressions and symbols,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/22827,Suicidal Planning & Rationalization
2,-8,',712,10,48548,16.14, specific technical terms and components related to mechanics and physics,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/48548,Suicidal Planning & Rationalization
3,-7,m,688,1,28471,93.88,license and copyright text from open-source software headers.,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28471,Suicidal Planning & Rationalization
3,-7,m,688,2,39353,23.88, sentences or fragments that indicate the start of a new topic or section,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/39353,Suicidal Planning & Rationalization
3,-7,m,688,3,31041,20.34,words and phrases related to technology and web applications,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/31041,Suicidal Planning & Rationalization
3,-7,m,688,4,20663,19.43, biological markers and abbreviations related to medical research,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/20663,Suicidal Planning & Rationalization
3,-7,m,688,5,28638,18.86, inquiries about gameplay experiences and technical issues related to video games,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28638,Suicidal Planning & Rationalization
3,-7,m,688,6,4598,18.39, terms related to online advertising and subscription services,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/4598,Suicidal Planning & Rationalization
3,-7,m,688,7,21766,17.90,"repeated uses of the word ""It"" in various contexts",https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/21766,Suicidal Planning & Rationalization
3,-7,m,688,8,27530,17.28, phrases related to software licensing and warranties,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/27530,Suicidal Planning & Rationalization
3,-7,m,688,9,22827,17.17,complex mathematical or scientific expressions and symbols,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/22827,Suicidal Planning & Rationalization
3,-7,m,688,10,25355,17.12,keywords related to displacement and immigration history,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/25355,Suicidal Planning & Rationalization
4,-6, not,702,1,28471,100.06,license and copyright text from open-source software headers.,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28471,Suicidal Planning & Rationalization
4,-6, not,702,2,39353,23.63, sentences or fragments that indicate the start of a new topic or section,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/39353,Suicidal Planning & Rationalization
4,-6, not,702,3,31041,21.97,words and phrases related to technology and web applications,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/31041,Suicidal Planning & Rationalization
4,-6, not,702,4,43398,21.63, temporal and geographical references,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/43398,Suicidal Planning & Rationalization
4,-6, not,702,5,20410,20.17, references to individual creativity and contributions to the arts,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/20410,Suicidal Planning & Rationalization
4,-6, not,702,6,53792,19.91, expressions of sensory perception and emotion,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/53792,Suicidal Planning & Rationalization
4,-6, not,702,7,22827,19.16,complex mathematical or scientific expressions and symbols,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/22827,Suicidal Planning & Rationalization
4,-6, not,702,8,35975,18.82," various uses and references to the concept of ""form.""",https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/35975,Suicidal Planning & Rationalization
4,-6, not,702,9,16550,17.22, technical terms related to genetics and statistical analysis,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/16550,Suicidal Planning & Rationalization
4,-6, not,702,10,199,17.15, technical terms and code snippets related to programming in PHP and MySQL,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/199,Suicidal Planning & Rationalization
5,-5, being,648,1,28471,92.65,license and copyright text from open-source software headers.,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28471,Suicidal Planning & Rationalization
5,-5, being,648,2,39353,21.33, sentences or fragments that indicate the start of a new topic or section,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/39353,Suicidal Planning & Rationalization
5,-5, being,648,3,60993,19.80," occurrences of the word ""like"" in various contexts, including its different forms and usages",https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/60993,Suicidal Planning & Rationalization
5,-5, being,648,4,22827,19.62,complex mathematical or scientific expressions and symbols,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/22827,Suicidal Planning & Rationalization
5,-5, being,648,5,5949,19.08, numerical values and quantities related to time or dates,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/5949,Suicidal Planning & Rationalization
5,-5, being,648,6,59698,19.05,references to song lyrics and performances,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/59698,Suicidal Planning & Rationalization
5,-5, being,648,7,28638,16.66, inquiries about gameplay experiences and technical issues related to video games,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28638,Suicidal Planning & Rationalization
5,-5, being,648,8,535,16.64,"references to countries, particularly the UK, EU, and US, often in the context of numerical data or comparisons",https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/535,Suicidal Planning & Rationalization
