Token_Position,Relative_Position,Token_Text,L0_Norm,Feature_Rank,Feature_Index,Activation,Feature_Description,Neuronpedia_URL,Pattern_Name
38 (rel: -10),-10, without,671,1,28471,88.16,license and copyright text from open-source software headers.,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28471,Conflict-Focused Self-Reflection
38 (rel: -10),-10, without,671,2,39186,27.20,"the word ""without"" and phrases indicating a lack or absence of something",https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/39186,Conflict-Focused Self-Reflection
38 (rel: -10),-10, without,671,3,39353,24.99, sentences or fragments that indicate the start of a new topic or section,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/39353,Conflict-Focused Self-Reflection
38 (rel: -10),-10, without,671,4,62348,23.91,"terms expressing negation or lack, particularly in relation to existence or presence",https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/62348,Conflict-Focused Self-Reflection
38 (rel: -10),-10, without,671,5,65296,21.91, legal terminology related to court proceedings and evidence,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/65296,Conflict-Focused Self-Reflection
38 (rel: -10),-10, without,671,6,60185,17.98, instances of the beginning of new sections or topics in text,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/60185,Conflict-Focused Self-Reflection
38 (rel: -10),-10, without,671,7,38323,17.55, references to legal or procedural terminology,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/38323,Conflict-Focused Self-Reflection
38 (rel: -10),-10, without,671,8,20321,17.14, substrings related to the absence or lack of something,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/20321,Conflict-Focused Self-Reflection
38 (rel: -10),-10, without,671,9,22827,16.61,complex mathematical or scientific expressions and symbols,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/22827,Conflict-Focused Self-Reflection
38 (rel: -10),-10, without,671,10,24363,14.48, introductory phrases or transitions in text,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/24363,Conflict-Focused Self-Reflection
39 (rel: -9),-9, second,667,1,28471,101.18,license and copyright text from open-source software headers.,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28471,Conflict-Focused Self-Reflection
39 (rel: -9),-9, second,667,2,58815,23.57,references to health-related terminology and conditions,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/58815,Conflict-Focused Self-Reflection
