Token_Position,Relative_Position,Token_Text,L0_Norm,Feature_Rank,Feature_Index,Activation,Feature_Description,Neuronpedia_URL,Pattern_Name
53 (rel: -10),-10, are,335,1,28471,105.99,license and copyright text from open-source software headers.,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28471,Disorganized Thought & Derealization
53 (rel: -10),-10, are,335,2,58571,21.60," the word ""are"" in various contexts",https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/58571,Disorganized Thought & Derealization
53 (rel: -10),-10, are,335,3,28081,19.88,mathematical expressions related to thermodynamics and statistical mechanics,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28081,Disorganized Thought & Derealization
53 (rel: -10),-10, are,335,4,58815,19.86,references to health-related terminology and conditions,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/58815,Disorganized Thought & Derealization
53 (rel: -10),-10, are,335,5,28638,16.92, inquiries about gameplay experiences and technical issues related to video games,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28638,Disorganized Thought & Derealization
53 (rel: -10),-10, are,335,6,199,16.02, technical terms and code snippets related to programming in PHP and MySQL,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/199,Disorganized Thought & Derealization
53 (rel: -10),-10, are,335,7,22827,15.72,complex mathematical or scientific expressions and symbols,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/22827,Disorganized Thought & Derealization
53 (rel: -10),-10, are,335,8,11926,15.26,keywords associated with programming constructs and declarations,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/11926,Disorganized Thought & Derealization
53 (rel: -10),-10, are,335,9,39353,14.30, sentences or fragments that indicate the start of a new topic or section,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/39353,Disorganized Thought & Derealization
53 (rel: -10),-10, are,335,10,11924,12.85,technical specifications or identifiers in document formats,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/11924,Disorganized Thought & Derealization
54 (rel: -9),-9, these,373,1,28471,89.22,license and copyright text from open-source software headers.,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28471,Disorganized Thought & Derealization
54 (rel: -9),-9, these,373,2,23603,23.47, questions related to existence or availability,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/23603,Disorganized Thought & Derealization
54 (rel: -9),-9, these,373,3,58815,21.33,references to health-related terminology and conditions,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/58815,Disorganized Thought & Derealization
54 (rel: -9),-9, these,373,4,39353,20.52, sentences or fragments that indicate the start of a new topic or section,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/39353,Disorganized Thought & Derealization
54 (rel: -9),-9, these,373,5,28638,18.51, inquiries about gameplay experiences and technical issues related to video games,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28638,Disorganized Thought & Derealization
54 (rel: -9),-9, these,373,6,46543,17.94,"the word ""these"" in various forms and contexts",https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/46543,Disorganized Thought & Derealization
54 (rel: -9),-9, these,373,7,199,16.17, technical terms and code snippets related to programming in PHP and MySQL,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/199,Disorganized Thought & Derealization
54 (rel: -9),-9, these,373,8,31041,12.38,words and phrases related to technology and web applications,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/31041,Disorganized Thought & Derealization
