Token_Position,Relative_Position,Token_Text,L0_Norm,Feature_Rank,Feature_Index,Activation,Feature_Description,Neuronpedia_URL,Pattern_Name
47 (rel: -10),-10, muster,1022,1,28471,99.21,license and copyright text from open-source software headers.,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28471,Executive Fatigue & Avolition
47 (rel: -10),-10, muster,1022,2,3665,39.15, phrases related to authorship and disclosure of competing interests,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/3665,Executive Fatigue & Avolition
47 (rel: -10),-10, muster,1022,3,22827,24.13,complex mathematical or scientific expressions and symbols,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/22827,Executive Fatigue & Avolition
47 (rel: -10),-10, muster,1022,4,62051,20.67, punctuation marks and parentheses,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/62051,Executive Fatigue & Avolition
47 (rel: -10),-10, muster,1022,5,21207,18.07, terms related to cadherins and specific individuals linked to them,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/21207,Executive Fatigue & Avolition
47 (rel: -10),-10, muster,1022,6,17364,17.90,references to the author 'Ann' and related variants in scientific or academic contexts,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/17364,Executive Fatigue & Avolition
47 (rel: -10),-10, muster,1022,7,28638,16.68, inquiries about gameplay experiences and technical issues related to video games,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28638,Executive Fatigue & Avolition
47 (rel: -10),-10, muster,1022,8,64874,16.22,error codes and related messages,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/64874,Executive Fatigue & Avolition
47 (rel: -10),-10, muster,1022,9,39353,15.99, sentences or fragments that indicate the start of a new topic or section,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/39353,Executive Fatigue & Avolition
47 (rel: -10),-10, muster,1022,10,46224,15.38, the start of various sections or paragraphs in the text,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/46224,Executive Fatigue & Avolition
48 (rel: -9),-9, up,581,1,28471,103.34,license and copyright text from open-source software headers.,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28471,Executive Fatigue & Avolition
48 (rel: -9),-9, up,581,2,18612,35.31," instances of the word ""up"" in various contexts",https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/18612,Executive Fatigue & Avolition
48 (rel: -9),-9, up,581,3,45977,21.32,terms related to medical conditions and procedures,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/45977,Executive Fatigue & Avolition
48 (rel: -9),-9, up,581,4,31041,20.89,words and phrases related to technology and web applications,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/31041,Executive Fatigue & Avolition
48 (rel: -9),-9, up,581,5,22827,20.34,complex mathematical or scientific expressions and symbols,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/22827,Executive Fatigue & Avolition
48 (rel: -9),-9, up,581,6,26310,19.06, elements related to programming structures and access specifiers in code,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/26310,Executive Fatigue & Avolition
48 (rel: -9),-9, up,581,7,16550,18.61, technical terms related to genetics and statistical analysis,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/16550,Executive Fatigue & Avolition
48 (rel: -9),-9, up,581,8,13938,18.39, legal terminology related to motions and procedural requests in court cases,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/13938,Executive Fatigue & Avolition
48 (rel: -9),-9, up,581,9,39353,17.85, sentences or fragments that indicate the start of a new topic or section,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/39353,Executive Fatigue & Avolition
48 (rel: -9),-9, up,581,10,28638,17.58, inquiries about gameplay experiences and technical issues related to video games,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28638,Executive Fatigue & Avolition
49 (rel: -8),-8, enough,1168,1,28471,92.70,license and copyright text from open-source software headers.,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28471,Executive Fatigue & Avolition
49 (rel: -8),-8, enough,1168,2,31041,29.66,words and phrases related to technology and web applications,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/31041,Executive Fatigue & Avolition
49 (rel: -8),-8, enough,1168,3,29318,24.33, data related to optical measurements and concentration in a scientific context,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/29318,Executive Fatigue & Avolition
49 (rel: -8),-8, enough,1168,4,16550,22.94, technical terms related to genetics and statistical analysis,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/16550,Executive Fatigue & Avolition
49 (rel: -8),-8, enough,1168,5,27530,21.79, phrases related to software licensing and warranties,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/27530,Executive Fatigue & Avolition
49 (rel: -8),-8, enough,1168,6,22827,20.61,complex mathematical or scientific expressions and symbols,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/22827,Executive Fatigue & Avolition
49 (rel: -8),-8, enough,1168,7,28638,20.50, inquiries about gameplay experiences and technical issues related to video games,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28638,Executive Fatigue & Avolition
49 (rel: -8),-8, enough,1168,8,4559,18.98, mathematical relationships and equations,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/4559,Executive Fatigue & Avolition
49 (rel: -8),-8, enough,1168,9,35856,18.92, scientific names and specific terms related to plants and their properties,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/35856,Executive Fatigue & Avolition
49 (rel: -8),-8, enough,1168,10,17984,18.69, code-related syntax or structure elements,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/17984,Executive Fatigue & Avolition
50 (rel: -7),-7, energy,945,1,28471,104.62,license and copyright text from open-source software headers.,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28471,Executive Fatigue & Avolition
50 (rel: -7),-7, energy,945,2,39353,25.01, sentences or fragments that indicate the start of a new topic or section,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/39353,Executive Fatigue & Avolition
50 (rel: -7),-7, energy,945,3,16550,20.65, technical terms related to genetics and statistical analysis,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/16550,Executive Fatigue & Avolition
50 (rel: -7),-7, energy,945,4,31041,20.47,words and phrases related to technology and web applications,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/31041,Executive Fatigue & Avolition
50 (rel: -7),-7, energy,945,5,29964,20.25, the presence of the beginning of a section or paragraph in a text,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/29964,Executive Fatigue & Avolition
50 (rel: -7),-7, energy,945,6,9858,18.66,references to solid and liquid states or phases in scientific contexts,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/9858,Executive Fatigue & Avolition
50 (rel: -7),-7, energy,945,7,43398,17.60, temporal and geographical references,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/43398,Executive Fatigue & Avolition
50 (rel: -7),-7, energy,945,8,59698,17.50,references to song lyrics and performances,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/59698,Executive Fatigue & Avolition
50 (rel: -7),-7, energy,945,9,45660,17.06,references to specific individuals or organizations involved in cultural or social commentary,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/45660,Executive Fatigue & Avolition
50 (rel: -7),-7, energy,945,10,50235,17.00, phrases indicating possession or existence,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/50235,Executive Fatigue & Avolition
