Token_Position,Relative_Position,Token_Text,L0_Norm,Feature_Rank,Feature_Index,Activation,Feature_Description,Neuronpedia_URL,Pattern_Name
54 (rel: -10),-10, all,826,1,28471,100.28,license and copyright text from open-source software headers.,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28471,Persistent Suicidal Ideation Focus
54 (rel: -10),-10, all,826,2,39353,20.69, sentences or fragments that indicate the start of a new topic or section,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/39353,Persistent Suicidal Ideation Focus
54 (rel: -10),-10, all,826,3,10636,20.50," references to ""all"" in various contexts",https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/10636,Persistent Suicidal Ideation Focus
54 (rel: -10),-10, all,826,4,46576,18.22,references to notable all-time teams or lists in sports discussions,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/46576,Persistent Suicidal Ideation Focus
54 (rel: -10),-10, all,826,5,27326,18.08,negations and words that express contradiction or denial,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/27326,Persistent Suicidal Ideation Focus
54 (rel: -10),-10, all,826,6,28638,18.05, inquiries about gameplay experiences and technical issues related to video games,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28638,Persistent Suicidal Ideation Focus
54 (rel: -10),-10, all,826,7,58815,17.23,references to health-related terminology and conditions,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/58815,Persistent Suicidal Ideation Focus
54 (rel: -10),-10, all,826,8,10237,16.98," occurrences of the word ""all.""",https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/10237,Persistent Suicidal Ideation Focus
54 (rel: -10),-10, all,826,9,27530,16.29, phrases related to software licensing and warranties,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/27530,Persistent Suicidal Ideation Focus
54 (rel: -10),-10, all,826,10,18343,15.30,the presence of specific tags or markers indicating structured data,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/18343,Persistent Suicidal Ideation Focus
55 (rel: -9),-9, the,684,1,28471,97.97,license and copyright text from open-source software headers.,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28471,Persistent Suicidal Ideation Focus
55 (rel: -9),-9, the,684,2,61367,23.34,"repetitive use of the word ""the.""",https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/61367,Persistent Suicidal Ideation Focus
55 (rel: -9),-9, the,684,3,39353,20.57, sentences or fragments that indicate the start of a new topic or section,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/39353,Persistent Suicidal Ideation Focus
55 (rel: -9),-9, the,684,4,8831,20.41, words and phrases related to marriage and familial relationships,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/8831,Persistent Suicidal Ideation Focus
55 (rel: -9),-9, the,684,5,28638,18.90, inquiries about gameplay experiences and technical issues related to video games,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28638,Persistent Suicidal Ideation Focus
55 (rel: -9),-9, the,684,6,58815,18.75,references to health-related terminology and conditions,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/58815,Persistent Suicidal Ideation Focus
55 (rel: -9),-9, the,684,7,12907,18.50, programming-related keywords and syntax elements,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/12907,Persistent Suicidal Ideation Focus
55 (rel: -9),-9, the,684,8,31041,18.42,words and phrases related to technology and web applications,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/31041,Persistent Suicidal Ideation Focus
55 (rel: -9),-9, the,684,9,19985,18.30,keywords related to medical and scientific terminology,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/19985,Persistent Suicidal Ideation Focus
55 (rel: -9),-9, the,684,10,30795,15.07,references to personal connections and relationships,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/30795,Persistent Suicidal Ideation Focus
56 (rel: -8),-8, ways,916,1,28471,92.87,license and copyright text from open-source software headers.,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28471,Persistent Suicidal Ideation Focus
56 (rel: -8),-8, ways,916,2,48573,27.95, HTML tags and class/interface declarations in code snippets,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/48573,Persistent Suicidal Ideation Focus
56 (rel: -8),-8, ways,916,3,31041,26.04,words and phrases related to technology and web applications,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/31041,Persistent Suicidal Ideation Focus
56 (rel: -8),-8, ways,916,4,39353,22.49, sentences or fragments that indicate the start of a new topic or section,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/39353,Persistent Suicidal Ideation Focus
56 (rel: -8),-8, ways,916,5,12994,21.78,references to bows and bowing actions,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/12994,Persistent Suicidal Ideation Focus
56 (rel: -8),-8, ways,916,6,33787,19.71, phrases that indicate methods or approaches to achieve goals or objectives,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/33787,Persistent Suicidal Ideation Focus
