Token_Position,Relative_Position,Token_Text,L0_Norm,Feature_Rank,Feature_Index,Activation,Feature_Description,Neuronpedia_URL,Pattern_Name
50 (rel: -10),-10, something,604,1,28471,91.38,license and copyright text from open-source software headers.,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28471,Somatic–Emotional Self-Monitoring
50 (rel: -10),-10, something,604,2,62703,23.40, phrases indicating personal sentiments or reflections,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/62703,Somatic–Emotional Self-Monitoring
50 (rel: -10),-10, something,604,3,58815,22.71,references to health-related terminology and conditions,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/58815,Somatic–Emotional Self-Monitoring
50 (rel: -10),-10, something,604,4,16989,22.34,"questions and inquiries about intentions, desires, and actions",https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/16989,Somatic–Emotional Self-Monitoring
50 (rel: -10),-10, something,604,5,39353,20.38, sentences or fragments that indicate the start of a new topic or section,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/39353,Somatic–Emotional Self-Monitoring
50 (rel: -10),-10, something,604,6,16550,15.01, technical terms related to genetics and statistical analysis,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/16550,Somatic–Emotional Self-Monitoring
50 (rel: -10),-10, something,604,7,56260,14.98, references to heraldry or family symbolism,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/56260,Somatic–Emotional Self-Monitoring
50 (rel: -10),-10, something,604,8,22827,14.35,complex mathematical or scientific expressions and symbols,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/22827,Somatic–Emotional Self-Monitoring
50 (rel: -10),-10, something,604,9,1019,14.04, phrases associated with violence and conflict,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/1019,Somatic–Emotional Self-Monitoring
50 (rel: -10),-10, something,604,10,31041,13.59,words and phrases related to technology and web applications,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/31041,Somatic–Emotional Self-Monitoring
